2025-07-28 15:05:50 | WebSearch | b8c17c71-efc6-4c19-9b68-e101c36de9c9 | 37d-youth-connector_raw_WebSearch_20250728_150550.json | Gen Z TikTok data collection concerns surveillance Polish youth 2024 2025
2025-07-28 15:06:32 | WebSearch | b8c17c71-efc6-4c19-9b68-e101c36de9c9 | 37d-youth-connector_raw_WebSearch_20250728_150632.json | Polish teenagers surveillance anxiety privacy social media monitoring 2024 GDPR awareness
2025-07-28 15:07:11 | WebSearch | b8c17c71-efc6-4c19-9b68-e101c36de9c9 | 37d-youth-connector_raw_WebSearch_20250728_150711.json | teenagers smart home devices bedroom privacy surveillance Ring doorbell Alexa parental monitoring 20
2025-07-28 15:08:08 | WebSearch | b8c17c71-efc6-4c19-9b68-e101c36de9c9 | 37d-youth-connector_raw_WebSearch_20250728_150808.json | "school surveillance" teenagers monitoring software proctoring education privacy 2024 "remote procto
2025-07-28 15:09:10 | WebSearch | b8c17c71-efc6-4c19-9b68-e101c36de9c9 | 37d-youth-connector_raw_WebSearch_20250728_150910.json | "social credit system" China surveillance teenagers comparison 1984 Orwell thoughtcrime
2025-07-28 15:09:50 | WebSearch | b8c17c71-efc6-4c19-9b68-e101c36de9c9 | 37d-youth-connector_raw_WebSearch_20250728_150950.json | "cancel culture" teenagers social media thoughtcrime public shaming young people 2024
2025-07-28 15:10:45 | WebSearch | b8c17c71-efc6-4c19-9b68-e101c36de9c9 | 37d-youth-connector_raw_WebSearch_20250728_151045.json | echo chambers filter bubbles teenagers social media algorithms 2024 polarization youth
2025-07-28 15:11:34 | WebSearch | b8c17c71-efc6-4c19-9b68-e101c36de9c9 | 37d-youth-connector_raw_WebSearch_20250728_151134.json | "fake news" teenagers misinformation social media detection skills youth 2024 media literacy
2025-07-28 15:12:51 | WebSearch | b8c17c71-efc6-4c19-9b68-e101c36de9c9 | 37d-youth-connector_raw_WebSearch_20250728_151251.json | dystopian video games surveillance mechanics teenagers 2024 cyberpunk Watch Dogs Orwell
2025-07-28 15:13:42 | WebSearch | b8c17c71-efc6-4c19-9b68-e101c36de9c9 | 37d-youth-connector_raw_WebSearch_20250728_151342.json | streaming algorithms TikTok Instagram youth manipulation 2024 engagement addiction dopamine
2025-07-28 15:14:24 | WebSearch | b8c17c71-efc6-4c19-9b68-e101c36de9c9 | 37d-youth-connector_raw_WebSearch_20250728_151424.json | AI chatbots teenagers deepfakes manipulation youth digital deception 2024 online safety
2025-07-28 15:15:27 | WebSearch | b8c17c71-efc6-4c19-9b68-e101c36de9c9 | 37d-youth-connector_raw_WebSearch_20250728_151527.json | teenagers self-censorship social media performative behavior Instagram TikTok public private persona
2025-07-28 15:16:24 | WebSearch | b8c17c71-efc6-4c19-9b68-e101c36de9c9 | 37d-youth-connector_raw_WebSearch_20250728_151624.json | group pressure peer influence teenagers social media following trends conformity 2024 FOMO
2025-07-28 15:17:45 | WebSearch | b8c17c71-efc6-4c19-9b68-e101c36de9c9 | 37d-youth-connector_raw_WebSearch_20250728_151745.json | teenagers surveillance anxiety mental health parental control apps monitoring software dating apps p
2025-07-28 15:18:33 | WebSearch | b8c17c71-efc6-4c19-9b68-e101c36de9c9 | 37d-youth-connector_raw_WebSearch_20250728_151833.json | teenagers digital privacy tools VPN Signal encrypted messaging youth activism privacy movements 2024
2025-07-28 15:19:22 | WebSearch | b8c17c71-efc6-4c19-9b68-e101c36de9c9 | 37d-youth-connector_raw_WebSearch_20250728_151922.json | youth creative protests memes surveillance resistance Gen Z privacy activism TikTok 2024
2025-07-28 15:20:21 | WebSearch | b8c17c71-efc6-4c19-9b68-e101c36de9c9 | 37d-youth-connector_raw_WebSearch_20250728_152021.json | Newspeak 1984 Orwell internet slang coded language teenagers censorship circumvention generational b
2025-07-28 15:21:14 | WebSearch | b8c17c71-efc6-4c19-9b68-e101c36de9c9 | 37d-youth-connector_raw_WebSearch_20250728_152114.json | "Gen Z slang" TikTok coded language teenagers generational communication barriers parents 2024
2025-07-28 15:22:07 | WebSearch | b8c17c71-efc6-4c19-9b68-e101c36de9c9 | 37d-youth-connector_raw_WebSearch_20250728_152207.json | Polish youth social media preferences TikTok Instagram gaming culture political awareness 2024
2025-07-28 15:22:42 | WebSearch | b8c17c71-efc6-4c19-9b68-e101c36de9c9 | 37d-youth-connector_raw_WebSearch_20250728_152242.json | Poland EU GDPR privacy laws teenagers awareness digital rights 2024 youth protection
2025-07-28 15:23:34 | WebSearch | b8c17c71-efc6-4c19-9b68-e101c36de9c9 | 37d-youth-connector_raw_WebSearch_20250728_152334.json | TikTok 1984 Orwell trends dystopian memes surveillance Big Brother teenagers 2024
2025-07-28 15:24:17 | WebSearch | b8c17c71-efc6-4c19-9b68-e101c36de9c9 | 37d-youth-connector_raw_WebSearch_20250728_152417.json | "BookTok" 1984 George Orwell teenagers reading trends dystopian fiction TikTok 2024
2025-07-28 15:25:01 | WebSearch | b8c17c71-efc6-4c19-9b68-e101c36de9c9 | 37d-youth-connector_raw_WebSearch_20250728_152501.json | 1984 George Orwell study guide exam questions essay tips memory tricks teenagers SparkNotes CliffsNo
2025-07-28 15:26:02 | WebSearch | b8c17c71-efc6-4c19-9b68-e101c36de9c9 | 37d-youth-connector_raw_WebSearch_20250728_152602.json | 1984 audiobook YouTube summaries speed reading tips teenagers "10 minute summary" study hacks
