2025-07-28 23:21:34 | WebSearch | 9588e4fa-c119-4986-be3b-1d3af7769f8f | 37d-facts-hunter_raw_WebSearch_20250728_232134.json | "Brave New World" Aldous Huxley 1932 historical context world events Great Depression
2025-07-28 23:22:00 | WebSearch | 9588e4fa-c119-4986-be3b-1d3af7769f8f | 37d-facts-hunter_raw_WebSearch_20250728_232200.json | 1932 world events Hitler rise to power Stalin Soviet Union Great Depression unemployment
2025-07-28 23:22:36 | WebSearch | 9588e4fa-c119-4986-be3b-1d3af7769f8f | 37d-facts-hunter_raw_WebSearch_20250728_232236.json | "Aldous Huxley" personal background experiences influenced "Brave New World" 1932 writing motivation
2025-07-28 23:23:13 | WebSearch | 9588e4fa-c119-4986-be3b-1d3af7769f8f | 37d-facts-hunter_raw_WebSearch_20250728_232313.json | "Brave New World" scientific influences mass production assembly line Henry Ford behaviorism Pavlov 
2025-07-28 23:23:59 | WebSearch | 9588e4fa-c119-4986-be3b-1d3af7769f8f | 37d-facts-hunter_raw_WebSearch_20250728_232359.json | "Brave New World" eugenics movement 1930s breeding castes Alpha Beta Gamma Delta Epsilon
2025-07-28 23:24:21 | WebSearch | 9588e4fa-c119-4986-be3b-1d3af7769f8f | 37d-facts-hunter_raw_WebSearch_20250728_232421.json | "Brave New World" 1932 publication Chatto Windus first edition reviews initial reception critics
2025-07-28 23:24:53 | WebSearch | 9588e4fa-c119-4986-be3b-1d3af7769f8f | 37d-facts-hunter_raw_WebSearch_20250728_232453.json | "Brave New World" banned censorship history Ireland schools library challenges controversial
2025-07-28 23:25:24 | WebSearch | 9588e4fa-c119-4986-be3b-1d3af7769f8f | 37d-facts-hunter_raw_WebSearch_20250728_232524.json | "Brave New World" 1932 reviews literary critics contemporary reception H.G. Wells George Orwell
2025-07-28 23:27:37 | WebSearch | 9588e4fa-c119-4986-be3b-1d3af7769f8f | 37d-facts-hunter_raw_WebSearch_20250728_232737.json | "Brave New World" "Henry Ford" "Our Ford" assembly line mass production World State calendar AF Afte
2025-07-28 23:28:02 | WebSearch | 9588e4fa-c119-4986-be3b-1d3af7769f8f | 37d-facts-hunter_raw_WebSearch_20250728_232802.json | "Brave New World" soma drug pharmaceutical industry 1930s narcotics alcohol prohibition
2025-07-28 23:28:40 | WebSearch | 9588e4fa-c119-4986-be3b-1d3af7769f8f | 37d-facts-hunter_raw_WebSearch_20250728_232840.json | "Brave New World" compared "We" Zamyatin "1984" Orwell dystopian novels 1930s same era
2025-07-28 23:30:49 | WebSearch | 9588e4fa-c119-4986-be3b-1d3af7769f8f | 37d-facts-hunter_raw_WebSearch_20250728_233049.json | "Brave New World" "Aldous Huxley" first translations international publication history chronology
2025-07-28 23:31:34 | WebSearch | 9588e4fa-c119-4986-be3b-1d3af7769f8f | 37d-facts-hunter_raw_WebSearch_20250728_233134.json | "Brave New World" translations "first published" German French Spanish Italian Russian chronological
2025-07-28 23:32:09 | WebSearch | 9588e4fa-c119-4986-be3b-1d3af7769f8f | 37d-facts-hunter_raw_WebSearch_20250728_233209.json | "Brave New World" Japanese Chinese Polish "first translation" publication dates international recept
2025-07-28 23:32:37 | WebSearch | 9588e4fa-c119-4986-be3b-1d3af7769f8f | 37d-facts-hunter_raw_WebSearch_20250728_233237.json | "Brave New World" Soviet Union ban censorship Eastern Europe reception Yugoslavia
2025-07-28 23:33:53 | WebSearch | 9588e4fa-c119-4986-be3b-1d3af7769f8f | 37d-facts-hunter_raw_WebSearch_20250728_233353.json | "Brave New World" literary criticism "over time" academic interpretations feminist postcolonial Marx
2025-07-28 23:34:32 | WebSearch | 9588e4fa-c119-4986-be3b-1d3af7769f8f | 37d-facts-hunter_raw_WebSearch_20250728_233432.json | "Brave New World" educational curriculum school reading list banned "high school" "college" required
2025-07-28 23:34:44 | WebSearch | 9588e4fa-c119-4986-be3b-1d3af7769f8f | 37d-facts-hunter_raw_WebSearch_20250728_233444.json | "Brave New World" "technological developments" prediction "in vitro fertilization" genetic engineeri
2025-07-28 23:37:49 | WebSearch | 9588e4fa-c119-4986-be3b-1d3af7769f8f | 37d-facts-hunter_raw_WebSearch_20250728_233749.json | social engineering experiments 1920s 1930s behaviorism psychology John Watson conditioning human beh
2025-07-28 23:38:15 | WebSearch | 9588e4fa-c119-4986-be3b-1d3af7769f8f | 37d-facts-hunter_raw_WebSearch_20250728_233815.json | Edward Bernays propaganda "engineering of consent" 1920s public relations social engineering techniq
2025-07-28 23:38:53 | WebSearch | 9588e4fa-c119-4986-be3b-1d3af7769f8f | 37d-facts-hunter_raw_WebSearch_20250728_233853.json | Hawthorne Studies 1920s 1930s social engineering industrial psychology workplace behavior manipulati
2025-07-28 23:39:24 | WebSearch | 9588e4fa-c119-4986-be3b-1d3af7769f8f | 37d-facts-hunter_raw_WebSearch_20250728_233924.json | caste system history Brave New World Alpha Beta Gamma Delta Epsilon historical parallels Indian cast
2025-07-28 23:40:10 | WebSearch | 9588e4fa-c119-4986-be3b-1d3af7769f8f | 37d-facts-hunter_raw_WebSearch_20250728_234010.json | 1920s 1930s mass media propaganda radio broadcasting techniques Joseph Goebbels Nazi propaganda earl
2025-07-28 23:40:55 | WebSearch | 9588e4fa-c119-4986-be3b-1d3af7769f8f | 37d-facts-hunter_raw_WebSearch_20250728_234055.json | Soviet Union propaganda techniques 1920s 1930s Stalin mass media Lenin film radio social engineering
2025-07-28 23:41:34 | WebSearch | 9588e4fa-c119-4986-be3b-1d3af7769f8f | 37d-facts-hunter_raw_WebSearch_20250728_234134.json | totalitarian regimes after 1932 East Germany China North Korea Cuba surveillance state control metho
2025-07-28 23:42:09 | WebSearch | 9588e4fa-c119-4986-be3b-1d3af7769f8f | 37d-facts-hunter_raw_WebSearch_20250728_234209.json | Cambodia Khmer Rouge Pol Pot 1975 social engineering totalitarian regime after Brave New World publi
2025-07-28 23:42:48 | WebSearch | 9588e4fa-c119-4986-be3b-1d3af7769f8f | 37d-facts-hunter_raw_WebSearch_20250728_234248.json | Brave New World predictions validated historical events IVF test tube babies pharmaceutical industry
2025-07-28 23:43:23 | WebSearch | 9588e4fa-c119-4986-be3b-1d3af7769f8f | 37d-facts-hunter_raw_WebSearch_20250728_234323.json | Brave New World predictions consumerism mass media entertainment digital technology social media sur
2025-07-28 23:43:55 | WebSearch | 9588e4fa-c119-4986-be3b-1d3af7769f8f | 37d-facts-hunter_raw_WebSearch_20250728_234355.json | social movements mirror Brave New World themes anti-consumerism resistance movements countercultural
2025-07-28 23:44:26 | WebSearch | 9588e4fa-c119-4986-be3b-1d3af7769f8f | 37d-facts-hunter_raw_WebSearch_20250728_234426.json | environmental movements Brave New World themes sustainability anti-technology movements Luddites mod
